"","target_end_date","abbreviation","cases","location","state_name"
"179",2024-03-23,"AL",55,1,"Alabama"
"180",2024-03-30,"AL",60,1,"Alabama"
"181",2024-04-06,"AL",39,1,"Alabama"
"182",2024-04-13,"AL",19,1,"Alabama"
"183",2024-04-20,"AL",18,1,"Alabama"
"184",2024-04-27,"AL",16,1,"Alabama"
"185",2024-05-04,"AL",10,1,"Alabama"
"186",2024-05-11,"AL",0,1,"Alabama"
"187",2024-05-18,"AL",4,1,"Alabama"
"188",2020-10-24,"AZ",1,2,"Arizona"
"189",2020-10-31,"AZ",1,2,"Arizona"
"190",2020-11-07,"AZ",10,2,"Arizona"
"191",2020-11-14,"AZ",22,2,"Arizona"
"192",2020-11-21,"AZ",18,2,"Arizona"
"193",2020-11-28,"AZ",8,2,"Arizona"
"194",2020-12-05,"AZ",18,2,"Arizona"
"195",2020-12-12,"AZ",33,2,"Arizona"
"196",2020-12-19,"AZ",11,2,"Arizona"
"197",2020-12-26,"AZ",8,2,"Arizona"
"198",2021-01-02,"AZ",44,2,"Arizona"
"199",2021-01-09,"AZ",10,2,"Arizona"
"200",2021-01-16,"AZ",14,2,"Arizona"
"201",2021-01-23,"AZ",4,2,"Arizona"
"202",2021-01-30,"AZ",2,2,"Arizona"
"203",2021-02-06,"AZ",3,2,"Arizona"
"204",2021-02-13,"AZ",3,2,"Arizona"
"205",2021-02-20,"AZ",4,2,"Arizona"
"206",2021-02-27,"AZ",4,2,"Arizona"
"207",2021-03-06,"AZ",15,2,"Arizona"
"208",2021-03-13,"AZ",0,2,"Arizona"
"209",2021-03-20,"AZ",4,2,"Arizona"
"210",2021-03-27,"AZ",5,2,"Arizona"
"211",2021-04-03,"AZ",6,2,"Arizona"
"212",2021-04-10,"AZ",4,2,"Arizona"
"213",2021-04-17,"AZ",4,2,"Arizona"
"214",2021-04-24,"AZ",5,2,"Arizona"
"215",2021-05-01,"AZ",22,2,"Arizona"
"216",2021-05-08,"AZ",2,2,"Arizona"
"217",2021-05-15,"AZ",2,2,"Arizona"
"218",2021-05-22,"AZ",5,2,"Arizona"
"219",2021-05-29,"AZ",1,2,"Arizona"
"220",2021-06-05,"AZ",3,2,"Arizona"
"221",2021-06-12,"AZ",3,2,"Arizona"
"222",2021-06-19,"AZ",3,2,"Arizona"
"223",2021-06-26,"AZ",3,2,"Arizona"
"224",2021-07-03,"AZ",3,2,"Arizona"
"225",2021-07-10,"AZ",2,2,"Arizona"
"226",2021-07-17,"AZ",0,2,"Arizona"
"227",2021-07-24,"AZ",2,2,"Arizona"
"228",2021-07-31,"AZ",1,2,"Arizona"
"229",2021-08-07,"AZ",2,2,"Arizona"
"230",2021-08-14,"AZ",9,2,"Arizona"
"231",2021-08-21,"AZ",9,2,"Arizona"
"232",2021-08-28,"AZ",8,2,"Arizona"
"233",2021-09-04,"AZ",4,2,"Arizona"
"234",2021-09-11,"AZ",1,2,"Arizona"
"235",2021-09-18,"AZ",2,2,"Arizona"
"236",2021-09-25,"AZ",1,2,"Arizona"
"237",2021-10-02,"AZ",2,2,"Arizona"
"238",2021-10-09,"AZ",3,2,"Arizona"
"239",2021-10-16,"AZ",10,2,"Arizona"
"240",2021-10-23,"AZ",1,2,"Arizona"
"241",2021-10-30,"AZ",1,2,"Arizona"
"242",2021-11-06,"AZ",4,2,"Arizona"
"243",2021-11-13,"AZ",2,2,"Arizona"
"244",2021-11-20,"AZ",4,2,"Arizona"
"245",2021-11-27,"AZ",13,2,"Arizona"
"246",2021-12-04,"AZ",22,2,"Arizona"
"247",2021-12-11,"AZ",26,2,"Arizona"
"248",2021-12-18,"AZ",37,2,"Arizona"
"249",2021-12-25,"AZ",54,2,"Arizona"
"250",2022-01-01,"AZ",140,2,"Arizona"
"251",2022-01-08,"AZ",68,2,"Arizona"
"252",2022-01-15,"AZ",22,2,"Arizona"
"253",2022-01-22,"AZ",23,2,"Arizona"
"254",2022-01-29,"AZ",24,2,"Arizona"
"255",2022-02-05,"AZ",36,2,"Arizona"
"256",2022-02-12,"AZ",53,2,"Arizona"
"257",2022-02-19,"AZ",56,2,"Arizona"
"258",2022-02-26,"AZ",69,2,"Arizona"
"259",2022-03-05,"AZ",77,2,"Arizona"
"260",2022-03-12,"AZ",79,2,"Arizona"
"261",2022-03-19,"AZ",104,2,"Arizona"
"262",2022-03-26,"AZ",119,2,"Arizona"
"263",2022-04-02,"AZ",99,2,"Arizona"
"264",2022-04-09,"AZ",116,2,"Arizona"
"265",2022-04-16,"AZ",93,2,"Arizona"
"266",2022-04-23,"AZ",125,2,"Arizona"
"267",2022-04-30,"AZ",152,2,"Arizona"
"268",2022-05-07,"AZ",166,2,"Arizona"
"269",2022-05-14,"AZ",195,2,"Arizona"
"270",2022-05-21,"AZ",223,2,"Arizona"
"271",2022-05-28,"AZ",197,2,"Arizona"
"272",2022-06-04,"AZ",207,2,"Arizona"
"273",2022-06-11,"AZ",92,2,"Arizona"
"274",2022-06-18,"AZ",54,2,"Arizona"
"275",2022-06-25,"AZ",34,2,"Arizona"
"276",2022-07-02,"AZ",12,2,"Arizona"
"277",2022-07-09,"AZ",14,2,"Arizona"
"278",2022-07-16,"AZ",9,2,"Arizona"
"279",2022-07-23,"AZ",13,2,"Arizona"
"280",2022-07-30,"AZ",16,2,"Arizona"
"281",2022-08-06,"AZ",5,2,"Arizona"
"282",2022-08-13,"AZ",8,2,"Arizona"
"283",2022-08-20,"AZ",14,2,"Arizona"
"284",2022-08-27,"AZ",16,2,"Arizona"
"285",2022-09-03,"AZ",14,2,"Arizona"
"286",2022-09-10,"AZ",5,2,"Arizona"
"287",2022-09-17,"AZ",7,2,"Arizona"
"288",2022-09-24,"AZ",9,2,"Arizona"
"289",2022-10-01,"AZ",10,2,"Arizona"
"290",2022-10-08,"AZ",18,2,"Arizona"
"291",2022-10-15,"AZ",11,2,"Arizona"
"292",2022-10-22,"AZ",22,2,"Arizona"
"293",2022-10-29,"AZ",29,2,"Arizona"
"294",2022-11-05,"AZ",78,2,"Arizona"
"295",2022-11-12,"AZ",133,2,"Arizona"
"296",2022-11-19,"AZ",305,2,"Arizona"
"297",2022-11-26,"AZ",561,2,"Arizona"
"298",2022-12-03,"AZ",786,2,"Arizona"
"299",2022-12-10,"AZ",752,2,"Arizona"
"300",2022-12-17,"AZ",549,2,"Arizona"
"301",2022-12-24,"AZ",566,2,"Arizona"
"302",2022-12-31,"AZ",621,2,"Arizona"
"303",2023-01-07,"AZ",364,2,"Arizona"
"304",2023-01-14,"AZ",151,2,"Arizona"
"305",2023-01-21,"AZ",98,2,"Arizona"
"306",2023-01-28,"AZ",55,2,"Arizona"
"307",2023-02-04,"AZ",60,2,"Arizona"
"308",2023-02-11,"AZ",58,2,"Arizona"
"309",2023-02-18,"AZ",37,2,"Arizona"
"310",2023-02-25,"AZ",41,2,"Arizona"
"311",2023-03-04,"AZ",49,2,"Arizona"
"312",2023-03-11,"AZ",42,2,"Arizona"
"313",2023-03-18,"AZ",55,2,"Arizona"
"314",2023-03-25,"AZ",36,2,"Arizona"
"315",2023-04-01,"AZ",25,2,"Arizona"
"316",2023-04-08,"AZ",39,2,"Arizona"
"317",2023-04-15,"AZ",46,2,"Arizona"
"318",2023-04-22,"AZ",37,2,"Arizona"
"319",2023-04-29,"AZ",41,2,"Arizona"
"320",2023-05-06,"AZ",35,2,"Arizona"
"321",2023-05-13,"AZ",55,2,"Arizona"
"322",2023-05-20,"AZ",55,2,"Arizona"
"323",2023-05-27,"AZ",66,2,"Arizona"
"324",2023-06-03,"AZ",66,2,"Arizona"
"325",2023-06-10,"AZ",60,2,"Arizona"
"326",2023-06-17,"AZ",48,2,"Arizona"
